Committee ID,Short Name,Official LPAC Name,"PAC Sponsor, District",UPDATED 9/20/24
C00826685,,A LOVE SUPREME PAC,"FROST, MAXWELL ALEJANDRO",
C00770701,,CEILING AND VISIBILITY UNLIMITED (CAVU PAC),"FRANKLIN, SCOTT",
C00589994,,BUILDING RENEWAL IN AMERICA NOW PAC,"BABIN, BRIAN",
C00769125,,DREAM BIG PAC,"OWENS, BURGESS",
C00825398,,MISSOURI TRUTH PAC,"ALFORD, MARK",
C00819854,,EL SUENO AMERICANO,"FLORES, MAYRA NOHEMI",
C00544254,,PERIMETER PAC,"DUCKWORTH, TAMMY",
C00442368,,COMMON VALUES PAC,"BARRASSO, SEN. JOHN",
C00823914,,EVER RELENTLESS IN CONSERVATISM,"BURLISON, ERIC",
C00765313,,MAKE AMERICA FIRST PAC,"CARGILE, MIKE",
C00821538,,FUNDING UNIQUE NEW GENERATIONS YEAH,"FUNG, ALLAN",
C00823120,,MORE ACTION THAN TALK PAC,"JACOBS, MATTHEW",
C00817239,,MGG PAC,"GILBERT, MADISON GESIOTTO",
C00764761,,START RISING PAC,"LETLOW, JULIA",
C00769695,,FREEDOM FORCE PAC,"SALAZAR, MARIA ELVIRA",
C00821959,,ALL AMERICAN PAC,"SELF, KEITH",
C00390674,,FREEDOM FUND,"CRAPO, MICHAEL",
C00762328,,FIGHT ON PAC,"ARENHOLZ, ASHLEY HINSON",
C00814897,,EMPIRE STRIKE PAC,"D'ESPOSITO, ANTHONY P",
C00376038,,HELP AMERICA'S LEADERS POLITICAL ACTION COMMITTEE (HALPAC),"ROGERS, HAROLD",
C00563247,,PROTECTING AMERICA UNDER LAW POLITICAL ACTION COMMITTEE,"GOSAR, PAUL ANTHONY",
C00603134,,VISIONARY PAC,"KELLY, ROBIN",
C00768408,,CAROLINA VICTORY FUND,"ROSS, DEBORAH",
C00779520,,KMPAC,"MANNING, KATHY",
C00819656,,FREEDOM FIRST USA PAC,"GONSALVES, MARK",
C00786392,,MA 4 DEMS PAC,"AUCHINCLOSS, JAKE",
C00808139,,LEADERSHIP IN SAVING AMERICA (LISA) PAC,"SCHELLER, LISA",
C00819060,,SOWEGA PAC,"WEST, CHRISTOPHER CHRIS",
C00818740,,CALL TO SERVICE PAC,"NUNN, ZACH",
C00816389,,ELECTING REPUBLICANS INDIANA PAC,"HOUCHIN, ERIN",
C00818518,,BOG-PAC,"BOGNET, JIM",
C00818542,,FIELD OF DREAMS PAC,"FINSTAD, BRAD",
C00481176,,CONCERNED AMERICANS FOR FREEDOM & OPPORTUNITY PAC (CAFO PAC),"SMITH, ADRIAN",
C00807412,,HELLFIRE PAC,"HUNT, WESLEY",
C00818286,,OHIO MATTERS LEADERSHIP PAC,"DOLAN, MATT",
C00817825,,RED HOOK PAC,"MOLINARO, MARCUS J.",
C00481978,,GUTS POLITICAL ACTION COMMITTEE A/K/A TRUE BLUE DEMOCRATS,"GRAYSON, ALAN MARK",
C00817775,,PINE TREES PAC,"POLIQUIN, BRUCE",
C00817452,,C4 PAC,"CONWAY, CONNIE",
C00781740,,CONSERVATIVE OPPORTUNITY FUND,"NORMAN, RALPH",
C00815720,,FAVIR PAC (FRANCE ADVOCATES FOR VETS AND INDIVIDUAL RIGHTS PAC),"FRANCE, MIKE",
C00553883,,BUILDING AMERICAN CONSERVATISM PAC,"WEBER, RANDY",
C00502096,,MICHIGAN'S FUTURE PAC,"KILDEE, DANIEL",
C00517235,,TURQUOISE PAC,"LUJAN, BEN RAY",
C00380675,,INDIVIDUALS DEDICATED TO ETHICS AND SCIENCE PAC,"DEGETTE, DIANA",
C00635219,,DAVID PAC DELIVERING AMERICAN VALUES IN DC,"KUSTOFF, DAVID",
C00378695,,VICTORY IN NOVEMBER ELECTION PAC,"THOMPSON, MIKE",
C00492082,,HOOSIERS FIRST PAC,"DONNELLY, JOSEPH",
C00812735,,DEMAND RESULTS PAC,"MARYOTT, BRIAN L MR",
C00812586,,FIRST IN TEXAS PAC,"MORAN, NATHANIEL QUENTIN",
C00498360,,TRUTH IS MARKETS WORK FUND A/K/A TIM W FUND,"WALBERG, TIMOTHY L REP",
C00721233,,BEAT THE ODDS PAC,"LEE, SUSIE",
C00747204,,DAM MAN PAC,"TIFFANY, TOM",
C00692640,,FIGHTING FOR MISSOURI PAC,"HAWLEY, JOSHUA DAVID",
C00811216,,OUR FIGHT OUR FUTURE,"CASAR, GREG",
C00792895,,WARRIOR ON THE HILL,"NORTON, ELEANOR HOLMES",
C00810879,,4 TOUR POLITICAL ACTION COMMITTEE,"JENSEN, JESSE",
C00556258,,"SEE CHANGE - SCIENCE, ENERGY & ENVIRONMENT CHANGE PAC","MCNERNEY, JERRY",
C00572438,,MI14 PAC,"LAWRENCE, BRENDA",
C00809863,,SERVICE KNOWLEDGE OATH LEADERSHIP PAC (SKOL PAC),"KISTNER, TYLER",
C00451583,,WOLVERINE PAC,"DINGELL, DEBBIE",
C00363648,,FIRST STATE PAC,"CARPER, THOMAS",
C00516013,,WINNOVEMBER POLITICAL ACTION COMMITTEE,"CHABOT, STEVE",
C00806240,,PROTECTING DEMOCRACY,"CHERFILUS-MCCORMICK, SHEILA",
C00805846,,LEADING THE PAC,"BARNES, MANDELA",
C00803239,,PBIII LEADERSHIP PAC,"BERRY, PAUL III",
C00660613,,FIGHTING FOR SOUTH TEXAS PAC,"GONZALEZ, VICENTE",
C00662056,,BLUE LINE PAC,"QUIGLEY, MIKE",
C00569871,,DOING RIGHT - RESULTS ACTION UNITY LEADERSHIP PAC,"RUIZ, RAUL",
C00710202,,SPARK PAC,"FINKENAUER, ABBY",
C00522318,,PATRIOT POLITICAL ACTION COMMITTEE,"PALAZZO, STEVEN",
C00801993,,VA CONSERVATIVE LEADERSHIP FUND,"GOOD, ROBERT G.",
C00497842,,STRATEGY PAC,"JOHNSON, RON",
C00798025,,CONSERVATIVE LEADERSHIP IN ELECTIONS PAC,"CLINE, BENJAMIN",
C00776310,,WE INVEST IN LIVES AND DREAMS (WILD) PAC,"WILD, SUSAN",
C00410308,,SHORE PAC,"PALLONE, FRANK",
C00387464,,ALAMO PAC,"CORNYN, JOHN",
C00794198,,BUILD THE BENCH PAC,"CARTER, TROY A. SR.",
C00492819,,CHESAPEAKE PAC,"HARRIS, ANDREW P",
C00497073,,LOBO PAC,"HEINRICH, MARTIN",
C00525717,,JUSTICE UNITY SPONTANEITY TRUTH INDEPENDENCE NOMOS POLITICAL ACTION COMMITTEE,"AMASH, JUSTIN",
C00345058,,COMMON SENSE COMMON SOLUTIONS POLITICAL ACTION COMMITTEE,"GRANGER, KAY",
C00769216,,THE GOOD TROUBLE PAC,"WILLIAMS, NIKEMA",
C00540393,,DBM PAC,"MCKINLEY, DAVID",
C00426965,,LIVABLE COMMUNITIES PAC,"GRIJALVA, REP. RAUL M",
C00388934,,FUND FOR AMERICA'S FUTURE,"GRAHAM, LINDSEY",
C00544270,,IDAHO CONSERVATIVE GROWTH FUND,"CRAPO, MICHAEL",
C00787317,,SPIKE PAC,"TRAHAN, LORI",
C00638130,,COWBOY PAC,"CHENEY, ELIZABETH",
C00489906,,FUNDING DEVELOPING LEADERSHIP PAC,"LUCAS, FRANK",
C00438291,,DENALI LEADERSHIP PAC,"MURKOWSKI, LISA",
C00588806,,HEALTH PAC,"GRAYSON, DENA MD, PHD",
C00430579,,BRAVE PAC,"SCOTT, DAVID ALBERT",
C00784868,,TRUSTWORTHY REPUBLICANS ALWAYS SERVE HUMBLY,"MOORE, BARRY",
C00628669,,1848 PAC,"GROTHMAN, GLENN S.",
C00480228,,CONTINUING AMERICA'S STRENGTH AND SECURITY PAC,"CASSIDY, WILLIAM",
C00694471,,AMERICAN MOSAIC PAC,"UNDERWOOD, LAUREN",
C00780262,,STRONGER WASHINGTON PAC,"SMILEY, TIFFANY",
C00639435,,ELEPAC,"ENGEL, ELIOT",
C00683250,,GENERATION GO LEADERSHIP PAC,"GOMEZ, JIMMY",
C00695395,,ELECT MORE DEMOCRATS PAC,"LEVIN, MIKE",
C00691352,,MOTHER ON A MISSION (MOM PAC),"MCBATH, LUCIA",
C00686402,,NOOGA PAC,"FLEISCHMANN, CHARLES J",
C00778308,,SOUTHERN STATES PAC,"KELLY, JOHN",
C00403592,,NARRAGANSETT BAY PAC,"REED, JOHN",
C00341990,,CAROLYN'S PAC,"MALONEY, CAROLYN B.",
C00507574,,MOTOR CITY PAC,"PETERS, GARY",
C00531517,,GIVING US SECURITY POLITICAL ACTION COMMITTEE (GUS PAC),"BILIRAKIS, GUS",
C00497131,,PURPOSE PAC,"BOOKER, CORY",
C00776492,,TYRRELL POLITICAL ACTION COMMITTEE,"BEN-AVI, TYRRELL",
C00768507,,UNITED FOR AMERICA PAC,"ELLISON, ALLEN",
C00566851,,JOBS OPPORTUNITY AND NEW IDEAS PAC,"ERNST, JONI",
C00773853,,GINGER PAC,"MEIJER, PETER",
C00743641,,BLUE SENATE PAC,"MERKLEY, JEFFREY",
C00460972,,BLUE WAVE PROJECT,"MERKLEY, JEFFREY",
C00605410,,CLIMATE CHAMPIONS PAC,"MERKLEY, JEFFREY",
C00584805,,BFB PAC,"BOYLE, BRENDAN F",
C00764993,,LIBERTY-LIBERTAD PAC,"ESPAILLAT, ADRIANO",
C00484055,,TOGETHER ENCOURAGING DEMOCRACY - T.E.D. PAC,"DEUTCH, THEODORE ELIOT",
C00681643,,DELIVER. EXCEL. BELIEVE. PAC,"LESKO, DEBBIE",
C00588335,,BUILDING AND RESTORING AMERICA TOGETHER POLITICAL ACTION COMMITTEE,"BRAT, DAVID ALAN MR.",
C00767863,,AXNE PAC (AMERICANS X-PECT NEW ENERGY),"AXNE, CINDY",
C00458570,,A NEW DIRECTION PAC,"SHAHEEN, JEANNE",
C00708172,,DAN-PAFIRST PAC,"MEUSER, DANIEL",
C00768887,,PAC FOR GOOD,"JACOBS, SARA",
C00634519,,DEFEND FREEDOM POLITICAL ACTION COMMITTEE,"DAVIDSON, WARREN",
C00686816,,AMERICA RELOADED,"CRENSHAW, DANIEL",
C00567693,,HAWAII PAC,"SCHATZ, BRIAN",
C00330720,,TRUST PAC TEAM REPUBLICANS FOR UTILIZING SENSIBLE TACTICS,"UPTON, FREDERICK STEPHEN",
C00610840,,BWC-BECAUSE WOMEN CAN PAC,"COLEMAN, BONNIE",
C00433219,,FUND FOR THE MAJORITY PAC,"FEINSTEIN, DIANE",
C00539601,,PINEAPPLE PAC,"HIRONO, MAZIE",
C00431874,,FOLLOW THE NORTH STAR FUND,"KLOBUCHAR, AMY",
C00765727,,TAHOMA PAC,"STRICKLAND, MARILYN",
C00762260,,COACH PAC,"TUBERVILLE, THOMAS H",
C00629311,,GRANITE VALUES PAC,"HASSAN, MARGARET",
C00413948,,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),"BOOZMAN, SEN. JOHN",
C00761528,,OREGON FRONTIER PAC,"BENTZ, CLIFF",
C00761957,,IN OUR HANDS,"KIM, ANDY",
C00760694,,SCONNIE PAC,"FITZGERALD, SCOTT",
C00760009,,PUTTING NEW HAMPSHIRE FIRST,"PAPPAS, CHRIS",
C00759019,,ALL IN PAC,"ALLRED, COLIN",
C00758862,,GETTING RESULTS BY ENGAGING THE GRASSROOTS (GREG PAC),"STANTON, GREG",
C00753384,,TEXAS RED,"JACKSON, RONNY LYNN",
C00757344,,MAKING A DIFFERENCE PAC,"DEAN, MADELEINE",
C00632323,,DEFEND OUR CONSERVATIVE SENATE PAC (DOC'S PAC),"MARSHALL, ROGER",
C00741371,,ROOTED IN COMMUNITY LEADERSHIP PAC,"TLAIB, RASHIDA",
C00706630,,POWER OF US PAC,"PRESSLEY, AYANNA",
C00426494,,FOR OUR REPUBLIC'S TRADITIONS FUND AKA FORT FUND,"FORTENBERRY, JEFFREY",
C00746735,,HMS SCRAP PAC,"STEVENS, HALEY",
C00724229,,VICTORY EAST,"MURPHY, GREGORY FRANCIS",
C00349233,,NEW MILLENNIUM PAC,"MENENDEZ, ROBERT",
C00392738,,HOOPS PAC,"WYDEN, RON",
C00691626,,CUT THE BULL PAC,"MILLER, CAROL DEVINE",
C00469429,,CMR POLITICAL ACTION COMMITTEE,"MCMORRIS RODGERS, CATHY",
C00691345,,REPAIR THE WORLD PAC,"LEVIN, ANDY",
C00409623,,SYNERGY PAC,"LARSON, JOHN",
C00439398,,TEXAS FIRST PAC,"CUELLAR, HENRY",
C00729939,,BULLDOG VICTORY PAC,"YOUNG, DAVID",
C00729871,,PUTTING PEOPLE FIRST PAC,"GARCIA, SYLVIA",
C00729616,,CITY ON A HILL PAC,"CLOUD, MICHAEL",
C00724443,,SUNFLOWER SEEDS PAC,"DAVIDS, SHARICE",
C00721225,,DEFENSE DEM PAC,"LURIA, ELAINE",
C00655423,,BRIDGE THE GAP PAC,"SCHNEIDER, BRADLEY",
C00526301,,ATHENA PAC,"CASTOR, KATHY",
C00503151,,UPPER HAND FUND,"HUIZENGA, WILLIAM",
C00690552,,WOMEN OF 'K'OLOR ELECTORAL PAC,"WILT, ROBIN",
C00708636,,HOULAPAC,"HOULAHAN, CHRISSY",
C00417295,,MASS PAC,"CAPUANO, MICHAEL E",
C00571521,,FREEDOM 21: FIGHTING FOR FREEDOM IN THE 21ST CENTURY,"STEWART, CHRIS",
C00706812,,77 PAC,"PINNELL, MATT",
C00479378,,CONCERNED CITIZENS COMING TO A CONSENSUS ON CULTURAL AND COMMERCE CHALLENGES,"RADEWAGEN, AMATA",
C00500025,,RECLAIM AMERICA PAC,"RUBIO, MARCO",
C00526046,,PATRIOTS LEADING A MAJORITY,"MEEHAN, PATRICK",
C00697698,,REPUBLICANS OFFERING SOLUTIONS FOR EVERYONE PAC,"ROSE, JOHN",
C00484667,,ICE PAC,"PAULSEN, ERIK MR.",
C00700120,,BE OF GOOD CHEER PAC,"HOLLINGSWORTH, TREY",
C00571000,,TRUE NORTH PAC,"SULLIVAN, DAN",
C00531590,,PATRIOTS IN ACTION,"WILLIAMS, ROGER",
C00525212,,VICTORY AND FREEDOM PAC (VAF PAC),"FOXX, VIRGINIA",
C00423079,,DEMOCRATS RESHAPING AMERICA (DREAMPAC),"SANCHEZ, LINDA",
C00559211,,RESTORE DEMOCRACY,"NOLAN, RICHARD MICHAEL",
C00410621,,SHOW-ME POLITICAL ACTION COMMITTEE,"GRAVES, SAM",
C00625111,,STRENGTHENING VIRGINIA'S WORKING FAMILIES PAC,"SCOTT, ROBERT",
C00325993,,DEFEND AMERICA PAC,"SHELBY, RICHARD",
C00512855,,THE FUND FOR AMERICAN EXCEPTIONALISM,"ROKITA, THEODORE",
C00348607,,IMPACT,"SCHUMER, CHARLES",
C00687699,,GLADIATORS PAC,"LAWSON, AL",
C00590356,,BUILDING AND RESTORING THE AMERICAN DREAM FUND,"WENSTRUP, BRAD",
C00683458,,LIMITLESS HORIZONS,"O'HALLERAN, TOM",
C00523381,,HEARTDOCPAC,"BUCSHON, LARRY D",
C00489427,,BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC,"LUETKEMEYER, W BLAINE",
C00647420,,BOLD ACTIVE CONSERVATIVES OF NEBRASKA PAC-BACON PAC,"BACON, DONALD",
C00501478,,SUPPORT TO ENSURE VICTORY EVERYWHERE PAC-STEVE PAC,"STIVERS, STEVE",
C00640029,,FOCUS ON THE FUTURE,"DELANEY, JOHN K.",
C00649772,,REVIVING AMERICAN JOBS AGAIN PAC,"KRISHNAMOORTHI, S. RAJA",
C00664326,,DOGWOOD PAC,"MCEACHIN, ASTON",
C00508010,,PROGRESSIVES ADVANCING UNITED LEADERSHIP (PAULPAC),"TONKO, PAUL",
C00659771,,LUCHADORA PAC,"BARRAG?N, NANETTE",
C00345199,,MIDNIGHT SUN POLITICAL ACTION COMMITTEE,"YOUNG, DONALD",
C00491142,,COMMON SENSE DEMOCRAT PAC,"LYNCH, STEPHEN F.",
C00656132,,SERVING OUR COUNTRY (SOC) PAC,"CARBAJAL, SALUD",
C00571208,,ONE GEORGIA PAC,"PERDUE, DAVID",
C00615492,,BATTLEGROUND PAC,"WALKER, BRADLEY MARK",
C00382242,,BADGERPAC,"KIND, RONALD",
C00635557,,DO RIGHT BAYOU PAC,"GRAVES, GARRET",
C00375691,,NEW VISION AMERICA FUND,"HONDA, MIKE",
C00562330,,MAKING A REAL CHANGE - MARC PAC,"VEASEY, MARC ALLISON MR.",
C00531632,,"DEFENSE, ECONOMIC RENEWAL, EDUCATION AND KNOWLEDGE PAC","KILMER, DEREK",
C00534032,,SAFEGUARDING AMERICAN LIBERTIES MORALS & OPPORTUNITIES NOW (SALMON) PAC,"SALMON, MATT",
C00385377,,ROAD TO VICTORY POLITICAL ACTION COMMITTEE,"DUNCAN, JOHN J REP. JR.",
C00461996,,SAWTOOTH POLITICAL ACTION COMMITTEE (SAWTOOTH PAC),"SIMPSON, MICHAEL K",
C00575894,,BLUE POWER PAC,"NORCROSS, DONALD W",
C00570770,,RURAL AMERICA COUNTS PAC (RAC PAC),"CRAWFORD, ERIC",
C00403675,,AMERICA FORWARD LEADERSHIP PAC,"CONYERS, JOHN",
C00525030,,TOGETHER EVERYONE REALIZES REAL IMPACT AKA TERRI PAC,"SEWELL, TERRYCINA ANDREA",
C00575662,,THE US CAMPAIGN FUND,"SARBANES, JOHN",
C00599092,,WOLF PACK,"CLEAVER II, EMANUEL",
C00433896,,LATINA SOL PAC,"SOLIS, HILDA",
C00362236,,COMMITTEE FOR SOUTHWEST VIRGINIA,"BOUCHER, FREDERICK C",
C00370122,,COMMITTEE FOR A DEMOCRATIC FUTURE,"DELAURO, ROSA L",
C00530774,,LEADERSHIP RESPONSIBILITY AND ACTION PAC AKA LRA PAC,"ROYBAL-ALLARD, LUCILLE",
C00351056,,PROGRESS PAC,"VELAZQUEZ, M.",
C00470666,,SKIPAC,"MATHESON, JAMES",
C00378356,,VIRGINIA LEADERSHIP PAC,"MORAN, JR., JAMES P.",
C00452763,,NEW SOUTH LEADERSHIP PAC,"BUTTERFIELD, GK",
C00165548,,SAC PAC,"MATSUI, DORIS",
C00432104,,GREAT AMERICAN FUND,"BOREN, DAVID DANIEL",
C00452748,,GREATER OPPORTUNITIES FOR LEADERSHIP DEVELOPMENT (GOLD PAC),"BISHOP, SANFORD",
C00528992,,PROMISE PAC,"FUDGE, MARCIA",
C00321596,,HOUSE MAJORITY FUND,"LEWIS, JOHN",
C00492165,,COMMITTEE TO STRENGTHEN AMERICA; THE,"ANDREWS, ROBERT E. MR.",
C00529693,,BLUE MAJORITY PAC,"POCAN, MARK",
C00499798,,VICKY PAC,"HARTZLER, VICKY",
C00529834,,BRIGHTER FUTURES PAC (BF PAC),"FARENTHOLD, RANDOLPH BLAKE",
C00459123,,NEW PIONEERS PAC,"WALDEN, GREGORY P",
C00425470,,DEMOCRATS WIN SEATS (DWS PAC),"WASSERMAN SCHULTZ, DEBBIE",
C00495705,,MAKE IT IN AMERICA PAC,"GARAMENDI, CONGRESSMAN JOHN",
C00397067,,OCEAN STATE POLITICAL ACTION COMMITTEE (OSPAC),"LANGEVIN, JAMES R",
C00456913,,LEADERSHIP FOR AMERICAN OPPORTUNITY,"FATTAH, CHAKA",
C00525592,,COOL PAC,"WEBSTER, DANIEL",
C00461251,,MAC PAC,"MCGOVERN, JAMES",
C00429787,,UNITED FOR PROGRESS LEADERSHIP COMMITTEE,"COSTELLO, JERRY",
C00381806,,PROGRESSIVE CHOICES PAC,"SCHAKOWSKY, JANICE D",
C00597062,,BUDDY PAC,Buddy Carter (GA-01),
C00485540,,LATTA PAC,Bob Latta (OH-05),
C00650853,,CREATING OPPORTUNITIES MARKETS & ENTHUSIASM IN RURAL KENTUCKY PAC,James Comer (KY-01),
C00802595,,OVERHAUL PAC,Michael Collins (GA-10),
C00481531,,TEXAS REPUBLICANS UNITED PAC (TRU PAC),Michael McCaul (TX-10),
C00820100,,HELPING EXCEPTIONAL LEADERS ORGANIZE PAC (HELO PAC),Jen Kiggans (VA-02),
C00363770,,PEOPLE FOR ENTERPRISE TRADE AND ECONOMIC GROWTH (PETE PAC),Pete Sessions (TX-17),
C00798025,,CONSERVATIVE LEADERSHIP IN ELECTIONS PAC,Ben Cline (VA-06),
C00805671,,FAITH IN AMERICA PAC,Mary Miller (IL-15),
C00712695,,VITORIA PAC,David Valadao (CA-22),
C00576249,,NORCAL WATER JOBS LIBERTY PAC,Doug LaMalfa (CA-01),
C00611400,,NEW ENERGY IN WASHINGTON HOUSE PAC NEW HOUSE PAC,Dan Newhouse (WA-04),
C00850917,,BASED PAC,Brandon Herrera (TX-23 candidate),
C00889337,,COMMANDER PAC,Jay Furman (TX-28 candidate),
C00772442,,PAC FOR AMERICA 2,Jim Risch (ID-Sen),
C00819888,,DUTY FIRST PAC,Sam Brown (NV Senate candidate),
C00887588,,DEMOCRATS VOTE,Raul Ruiz (CA-25),
C00886978,,FREEDOM DEMOCRATS,Julia Brownley (CA-26),
C00886499,,GOOD FOR NEW HAMPSHIRE,Russell Prescott (NH-01 candidate),
C00455717,,FREE STATE PAC,Jerry Moran (KS-Sen),
C00877506,,SPACE COAST LEADERSHIP PAC,Mike Haridopolos (FL-26 candidate),
C00747477,,SENSIBLE AMERICAN SOLUTIONS SUPPORTING EVERYONE STATE PAC,Benjamin Sasse (former NE-Sen),
C00820787,,B BRIGADE MAJORITY FUND,Tom Barrett (MI-07 candidate),
C00883983,,DARK HORSE PAC,Caroleene Dobson (AL-02 candidate),
C00881490,,"FOR OUR NATION'S GREATNESS, RESILIENCE, EXCELLENCE, STRENGTH, AND SECURITY (FONGRESS) PAC",Vince Fong (CA-20),
C00416131,,MIDWEST VALUES PAC,Al Franken (former MN-Sen),
C00879858,,BUILD WISCONSIN PAC,Eric Hovde (WI-Sen candidate),
C00818328,,PAC FOR NEW LEADERSHIP,Kevin Kiley (CA-03),
C00461137,,TAKING OUR MAJORITY PAC,Thomas McClintock (CA-05),
C00489112,,JUSTICE EQUALITY FREEDOM FOREVER PAC,Jeff Dunham (former CA-10),
C00878785,,RIGHT HERE RIGHT NOW PAC,Nick Langworthy (NY-23),
C00412288,,BILL PAC,William Shuster (former PA-09),
C00493924,,REINVENTING A NEW DIRECTION POLITICAL ACTION COMMITTEE,Rand Paul (KY-Sen),
C00705152,,WOMEN EXCEL PAC,Jennifer Wexton (VA-10),
C00431403,,VOTE TO ELECT REPUBLICANS NOW PAC,Vernon Buchanan (FL-16),
C00748186,,"COMMONSENSE, CONSERVATIVE VALUES PAC",John Thune (SD-Sen),
C00695874,,GETTING REPUBLICANS ELECTED FOR GENERATIONS PAC,Greg Steube (FL-17),
C00875781,,RIGHT WISCONSIN PAC,Tony Wied (WI-08 candidate),
C00497594,,DEFENDING AMERICA'S VALUES EVERYWHERE PAC,David Schweikert (AZ-01),
C00391797,,DIRIGO PAC,Susan Collins (ME-Sen),
C00235655,,BLUEGRASS COMMITTEE,Mitch McConnell (KY-Sen),
C00839688,,A STRONGER AMERICA PAC,Asa Hutchinson (former AR gov),
C00375584,,GREAT LAKES PAC,Debbie Stabenow (MI-Sen),
C00846675,,DEDICATED ACTION VICTORY INITIATIVE STRATEGY PAC,Cicely Davis (former MN-05 candidate),
C00365270,,M-PAC,Patty Murray (WA-Sen),
C00633164,,BUILDING INNOVATIVE GOOD GOVERNMENT SOLUTIONS PAC,Andy Biggs (AZ-05),
C00647206,,ONE GENERATION,Kenneth Buck (former CO-04),
C00491936,,COMMON SENSE COLORADO,Michael Bennet (CO-Sen),
C00863217,,TEXAS VALUES PAC,Brandon Gill (TX-26 candidate),
C00571976,,THE PETER NORBECK LEADERSHIP PAC,Mike Rounds (SD-Sen),
C00409003,,HEARTLAND VALUES PAC,John Thune (SD-Sen),
C00856104,,KEEP AMERICA RED INDEFINITELY PAC,Kari Lake (AZ-Sen candidate),
C00855437,,MAKE EVERY DAY COUNT,Laphonza Butler (CA-Sen),
C00631994,,JUST LEAD PAC,Jason Lewis (former MN-02),
C00608463,,SALT CITY PAC,John Katko (former NY-24),
C00428839,,CONSERVATIVE PRINCIPLES PAC,Steve King (former IA-04),
C00491654,,CITIZENS FOR PROSPERITY IN AMERICA TODAY PAC,Patrick Joseph Toomey (former PA-Sen),
C00771188,,PROPELLING AMERICA INTO TOMORROW,Patrick Joseph Toomey (former PA-Sen),
C00676445,,BLUE HEN STATE AND LOCAL PAC,Christopher Coons (DE-Sen),
C00543207,,BADLANDS PAC,Kevin Cramer (ND-Sen),
C00571430,,EFFECTIVE LEADERSHIP ENHANCING COMMUNITIES TODAY - ELECT PAC,Elizabeth Esty (former CT-05),
C00693713,,"OUR FREEDOM, OUR FUTURE",Tulsi Gabbard (former HI-02),
C00571323,,TOGETHER HOLDING OUR MAJORITY PAC,Thom Tillis (NC-Sen),
C00844639,,DEMOCRATIC TURNOUT PROJECT PAC,Ann McLane Kuster (NH-02),
C00338848,,HOOSIER PAC,Dan Burton (former IN-05),
C00752790,,JOBS AND THE ECONOMY PAC,Jay Obernolte (CA-23),
C00417584,,AMERICA 2.0 PAC,Timothy Ryan (former OH-13),
C00839373,,WE'VE GOT A COUNTRY TO SAVE,Larry Elder (former CA-Sen candidate),
C00705368,,WORKING HARDER PAC,Josh Harder (CA-09),
C00467837,,EDPAC,Edwin Perlmutter (former CO-07),
C00831214,,EVERY VOTE PAC,John Fetterman (PA-Sen),
C00834762,,CHUTZ PAC,Ritchie Torres (NY-15),
C00834507,,BUILDING UP DEMOCRACY'S DREAM,Theodore Budd (NC-Sen),
C00632992,,DEVELOPING A NEW GENERATION PAC (DANG PAC),Stephanie Murphy (former FL-07),
C00757120,,NOW ELECTING HONEST LEADERSHIP AND SERVICE PAC,Troy Nehls (TX-22),
C00381681,,THE KEYSTONE FUND,Michael Doyle (former PA-18),
C00691154,,BELIEVE IN AMERICA PAC,Mitt Romney (UT-Sen),
C00417493,,PROGRESSIVE AMERICANS FOR DEMOCRACY,Peter Defazio (former OR-04),
C00832469,,BUILDING A NATIONAL KNOWLEDGEABLE SECURITY PAC,Jim Banks (IN-03),
C00627398,,MAKING BOLD INITIATIVES + SOLUTIONS TO HELP AMERICA (M-BISH PAC),Mike Bishop (former MI-07),
C00762682,,STEER PAC,Cynthia Lummis (WY-Sen),
C00608505,,JUSTICE OPPORTUNITY STRENGTH HONOR PAC (JOSHPAC),Joshua Mandel (former OH-Sen candidate),
C00546325,,TAKING AN INDEPENDENT PERSPECTIVE TOGETHER FOR OUR NATION PAC,Scott Tipton (former CO-03),
C00691162,,HOOSIER PAC,Mike Braun (IN-Sen),
C00379479,,THE HAWKEYE PAC,Chuck Grassley (IA-Sen),
C00777599,,MISSOURI FIRST,Eric Greitens (former MO gov),
C00536540,,"JOBS, FREEDOM, AND SECURITY PAC",Ted Cruz (TX-Sen),
C00816504,,ALASKA PAC,Kelly Tshibaka (former AK-Sen candidate),
C00825182,,PACNW,Matt Larkin (former WA-08 candidate),
C00806687,,THE GREAT LAKES LEADERSHIP PAC,John Gibbs (former MI-03 candidate),
C00824573,,SOUTH TEXAS STRONG LEADERSHIP PAC,Cassandra Garcia (former TX-28 candidate),
C00817981,,STRYKR PAC,Thomas Patti (former CA-09 candidate),
C00687343,,ALL HANDS POLITICAL ACTION COMMITTEE,Todd Young (IN-Sen),
C00541078,,EXCELSIOR PAC,Tom Reed (former NY-23),
C00574376,,THUNDERBOLT PAC,Martha McSally (former AZ-Sen),
C00794685,,HONEY BADGER PAC,April Becker (former NV-03),
C00817171,,SAVE AND RESTORE ALASKAN HONOR PAC,Sarah Palin (former AK-AL),
C00814616,,SENATE FIGHT FUND,Ben Ray Lujan (NM-Sen),
C00803825,,DEFENDING OUR COUNTRY PAC (DOC PAC),Brooke Taylor (former VA-10),
